#{"signature":"BA_NetworkPercolationExplosive_v7_N_400000_m_10_M_2","network_class":"NetworkBA_v7","percolation_class":"NetworkPercolationExplosive_v7","random_seed":1420893747,"m":10,"N":400000,"number_of_links":3999990,"number_of_nodes":400000,"M":2,"tc":0.7272,"dt":2.5e-06,"ensemble_size":2000,"En":2000,"date":"2019.12.6_23.48.2"}
# t=relative link density
# S_max = largest cluster
#<t>	<S_max>
0.6272	126.3235
0.6272025	126.324
0.627205	126.3355
0.6272075	126.348
0.62721	126.353
0.6272125000000001	126.3545
0.6272150000000001	126.355
0.6272175000000001	126.3595
0.6272200000000001	126.365
0.6272225000000001	126.3655
0.6272250000000001	126.367
0.6272275000000002	126.374
0.6272300000000002	126.374
0.6272325000000002	126.3755
0.6272350000000002	126.3835
0.6272375000000002	126.401
0.6272400000000002	126.4015
0.6272425000000003	126.403
0.6272450000000003	126.4035
0.6272475000000003	126.4065
0.6272500000000003	126.419
0.6272525000000003	126.4355
0.6272550000000003	126.447
0.6272575000000004	126.448
0.6272600000000004	126.462
0.6272625000000004	126.465
0.6272650000000004	126.497
0.6272675000000004	126.4985
0.6272700000000004	126.4985
0.6272725000000005	126.499
0.6272750000000005	126.499
0.6272775000000005	126.4995
0.6272800000000005	126.519
0.6272825000000005	126.52
0.6272850000000005	126.52
0.6272875000000006	126.5205
0.6272900000000006	126.5245
0.6272925000000006	126.5245
0.6272950000000006	126.5305
0.6272975000000006	126.538
0.6273000000000006	126.553
0.6273025000000007	126.553
0.6273050000000007	126.553
0.6273075000000007	126.5535
0.6273100000000007	126.56
0.6273125000000007	126.5615
0.6273150000000007	126.562
0.6273175000000007	126.5685
0.6273200000000008	126.6075
0.6273225000000008	126.6095
0.6273250000000008	126.612
0.6273275000000008	126.617
0.6273300000000008	126.617
0.6273325000000008	126.617
0.6273350000000009	126.6175
0.6273375000000009	126.6175
0.6273400000000009	126.626
0.6273425000000009	126.628
0.6273450000000009	126.628
0.6273475000000009	126.629
0.627350000000001	126.629
0.627352500000001	126.64
0.627355000000001	126.6445
0.627357500000001	126.645
0.627360000000001	126.6455
0.627362500000001	126.647
0.6273650000000011	126.647
0.6273675000000011	126.647
0.6273700000000011	126.6485
0.6273725000000011	126.6705
0.6273750000000011	126.6705
0.6273775000000011	126.6725
0.6273800000000012	126.674
0.6273825000000012	126.675
0.6273850000000012	126.6755
